,,"R for rep, c for column, B for Branch, T for Tap",,,,,,,,,2 weeks apart,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,R3C1,R3C2,R3C3,R3C4,R3C5,R3C6,R3C7,R3C8,R3C9,R3C10,R2C1,R2C2,R2C3,R2C4,R2C5,R2C6,R2C7,R2C8,R2C9,R2C10
1,B3233,T3234,B3233,Saranac,B4563,Agate,T3234,B4563,B3233,Saranac,B4563,T3234,B4563,B3233,B4563,T3234,Saranac,T3234,B4561,B4563
2,B3233,B4561,Agate,B3233,Saranac,B4563,B4561,Agate,B4563,B3233,T3234,B3233,B4563,B3233,Agate,B4561,B4561,B3233,B4563,B3233
3,Saranac,Agate,B4561,B4563,Saranac,B4561,T3234,B4563,B3233,Agate,Saranac,T3234,T3234,Saranac,Agate,Agate,B4563,B4561,Agate,T3234
4,B4563,Saranac,B4563,T3234,T3234,B3233,T3234,Saranac,B4563,T3234,Saranac,Saranac,B4561,Agate,B3233,B4563,Saranac,T3234,T3234,Saranac
5,B4561,B4563,T3234,Agate,T3234,B3233,B3233,B4563,B4563,B4561,B4561,Saranac,Saranac,T3234,Saranac,B4563,T3234,B3233,B3233,Agate
6,B4561,Agate,Saranac,T3234,T3234,Saranac,B4563,Saranac,B3233,B4563,B3233,B3233,Agate,Saranac,B4563,B4563,B4563,T3234,B4561,B4561
7,B4561,Saranac,Saranac,B4563,Saranac,B4561,Agate,T3234,B3233,T3234,B3233,B4561,B4561,B3233,Agate,B4561,Agate,Agate,Agate,Agate
8,Agate,T3234,B3233,B4563,B4561,B4563,B3233,Agate,B4561,B4561,B4563,Saranac,Agate,Saranac,B3233,B3233,Agate,B3233,B3233,Saranac
9,T3234,B4561,B3233,B4563,Saranac,B4561,Agate,T3234,B4561,Agate,T3234,Saranac,B3233,B4561,Saranac,B4561,B4563,T3234,T3234,B4563
10,B4563,Agate,Saranac,B4563,Agate,B4561,Saranac,Saranac,Saranac,T3234,B4563,B4563,B4563,Agate,Agate,T3234,Saranac,B4561,B4563,B4561
11,T3234,B4561,Agate,B4561,T3234,B3233,B3233,Agate,B3233,B4561,B4561,T3234,B4561,T3234,Agate,Saranac,T3234,B3233,B4563,Agate
12,Agate,Agate,Saranac,B3233,T3234,B4561,Agate,Saranac,B3233,Agate,Agate,Saranac,B4561,B4561,T3234,B4561,B3233,Agate,B3233,Saranac
,R4C1,R4C2,R4C3,R4C4,R4C5,R4C6,R4C7,R4C8,R4C9,R4C10,R1C1,R1C2,R1C3,R1C4,R1C5,R1C6,R1C7,R1C8,R1C9,R1C10
1,Agate,T3234,Agate,B3233,B3233,T3234,B4561,B4561,B3233,Saranac,B3233,T3234,T3234,Agate,T3234,B4561,B3233,Agate,Agate,B4561
2,B4561,B4561,B3233,Agate,B3233,Saranac,Saranac,B4561,Saranac,B4563,T3234,B4561,B3233,Agate,Saranac,B4563,B4561,Saranac,T3234,B4563
3,Saranac,T3234,B4561,B3233,Saranac,Agate,B4563,B4563,B4563,Saranac,B4563,Saranac,B3233,Saranac,Saranac,Agate,Saranac,B3233,B3233,B3233
4,T3234,B4563,T3234,B4561,B4563,B4561,Agate,Saranac,Agate,Saranac,B4563,B4563,T3234,B3233,Saranac,T3234,B4561,B3233,Agate,T3234
5,B4563,B3233,B4563,Agate,Saranac,T3234,B4563,T3234,B3233,Agate,B3233,B4561,Agate,B4563,B4561,T3234,B3233,Agate,B4561,B4563
6,B4561,B4563,B3233,B4563,Agate,B3233,T3234,B3233,B3233,T3234,Agate,Agate,Saranac,B4563,Saranac,B3233,B3233,Saranac,B4561,B4563
7,T3234,Saranac,T3234,Saranac,B4563,B3233,Agate,Agate,T3234,B4563,B4563,Agate,B3233,B4563,B3233,Agate,Agate,B4563,B3233,T3234
8,B3233,B4561,Agate,Saranac,B4561,T3234,B4563,Agate,B3233,T3234,B4563,Agate,B4561,Saranac,B4563,B4561,Saranac,Saranac,T3234,B4563
9,B4561,B4561,T3234,B4561,Saranac,B3233,Saranac,B3233,Saranac,B4563,Saranac,B4561,B4563,T3234,B4561,B4561,B4563,Saranac,Saranac,T3234
10,B4561,B3233,Saranac,B4561,B4561,Agate,T3234,B4561,B3233,Agate,Agate,B4563,B4561,B4561,T3234,Saranac,B4563,T3234,B3233,B3233
11,T3234,T3234,Saranac,T3234,B4561,B4563,B4563,Saranac,Saranac,B3233,T3234,T3234,B3233,Agate,B4561,B4561,Agate,Saranac,T3234,Agate
12,Agate,Agate,T3234,Agate,B4563,Agate,B4563,Agate,B4561,B4563,B4561,Agate,Saranac,B3233,B4561,Saranac,Agate,B4563,T3234,T3234
