"primaryLengt","lengthlonger","Per","phenotype","sheetNames","cultivar"
13.3147,6.1319,46.053609919863,"Branch","1: 1rt-Jun 3233_34","3233"
15.4121,5.9873,38.8480479623153,"Tap","1: 1rt-Jun 3233_34","3233"
14.721,5.4587,37.0810406901705,"TB","1: 1rt-Jun 3233_34","3233"
11.2121,6.4958,57.9356231214492,"Branch","1: 1rt-Jun 3233_34","3233"
13.5103,4.0041,29.6373877708119,"Tap","1: 1rt-Jun 3233_34","3233"
13.0331,5.3769,41.2557258058328,"Branch","1: 1rt-Jun 3233_34","3233"
8.8969,4.7996,53.9468803740629,"Branch","1: 1rt-Jun 3233_34","3233"
12.394,5.7727,46.5765693077295,"TB","1: 1rt-Jun 3233_34","3233"
13.4654,7.2348,53.7288160767597,"TB","1: 1rt-Jun 3233_34","3234"
11.9095,5.7549,48.3219278727067,"TB","1: 1rt-Jun 3233_34","3234"
14.3803,5.482,38.1215969068796,"Tap","1: 1rt-Jun 3233_34","3234"
11.836,5.286,44.6603582291315,"Tap","1: 1rt-Jun 3233_34","3234"
11.9531,3.6783,30.7727702437025,"Tap","1: 1rt-Jun 3233_34","3234"
11.7457,4.1237,35.108167244183,"Tap","1: 1rt-Jun 3233_34","3234"
12.5547,5.9647,47.5096975634623,"Branch","2: 1rt-Jul 3233_34","3233"
8.4478,2.2028,26.0754279220625,"Branch","2: 1rt-Jul 3233_34","3233"
14.6385,8.6384,59.0115107422209,"Branch","2: 1rt-Jul 3233_34","3233"
10.4592,4.5812,43.8006730916323,"TB","2: 1rt-Jul 3233_34","3233"
10.53,5.1519,48.9259259259259,"Branch","2: 1rt-Jul 3233_34","3233"
11.5984,5.7088,49.220582149262,"Branch","2: 1rt-Jul 3233_34","3233"
19.8386,7.2763,36.6774873226941,"Tap","2: 1rt-Jul 3233_34","3233"
11.4973,4.7079,40.9478747184121,"Tap","2: 1rt-Jul 3233_34","3234"
11.4204,5.009,43.8601099786347,"Branch","2: 1rt-Jul 3233_34","3234"
11.1366,5.795,52.035630264174,"Branch","2: 1rt-Jul 3233_34","3234"
12.5022,6.2737,50.1807681847995,"TB","2: 1rt-Jul 3233_34","3234"
9.7863,4.549,46.4833491718014,"Branch","2: 1rt-Jul 3233_34","3234"
9.1644,6.9286,75.6034219370608,"Branch","2: 1rt-Jul 3233_34","3234"
12.1073,6.212,51.3078886291741,"Branch","2: 1rt-Jul 3233_34","3234"
9.2016,3.9484,42.9099287080508,"Branch","3: 1rt-Aug 3233_34","3233"
10.1183,4.8493,47.9260350058804,"TB","3: 1rt-Aug 3233_34","3233"
7.548,3.8323,50.7723900370959,"Branch","3: 1rt-Aug 3233_34","3233"
12.0162,4.6837,38.9782127461261,"TB","3: 1rt-Aug 3233_34","3233"
9.0481,4.6426,51.3102198251567,"Branch","3: 1rt-Aug 3233_34","3233"
15.7085,6.2045,39.4977241620779,"TB","3: 1rt-Aug 3233_34","3233"
9.1354,4.7406,51.8926374324058,"Branch","3: 1rt-Aug 3233_34","3234"
15.9532,6.2974,39.4742120703056,"Tap","3: 1rt-Aug 3233_34","3234"
15.5587,5.2866,33.9784172199477,"Tap","3: 1rt-Aug 3233_34","3234"
8.9492,5.8027,64.8404326643722,"Branch","3: 1rt-Aug 3233_34","3234"
6.989,4.7801,68.3946201173272,"Branch","3: 1rt-Aug 3233_34","3234"
9.5155,4.2045,44.185802112343,"Branch","4: 1rt-Feb 3233_34","3233"
10.5505,4.0419,38.3100326998721,"Branch","4: 1rt-Feb 3233_34","3233"
12.5858,6.3488,50.4441513451668,"TB","4: 1rt-Feb 3233_34","3233"
10.2672,4.5601,44.4142512077295,"Branch","4: 1rt-Feb 3233_34","3233"
14.1378,4.749,33.5907991342359,"Tap","4: 1rt-Feb 3233_34","3233"
17.7877,5.917,33.2645592178865,"Tap","4: 1rt-Feb 3233_34","3233"
10.9332,6.3727,58.2876010683057,"Branch","4: 1rt-Feb 3233_34","3233"
16.8278,6.683,39.7140446166463,"Tap","4: 1rt-Feb 3233_34","3234"
14.4997,6.3638,43.8891839141499,"TB","4: 1rt-Feb 3233_34","3234"
14.6158,5.4039,36.9730018199483,"Tap","4: 1rt-Feb 3233_34","3234"
15.5683,4.5188,29.0256482724511,"Tap","4: 1rt-Feb 3233_34","3234"
16.0062,4.8271,30.157688895553,"Tap","4: 1rt-Feb 3233_34","3234"
9.5425,3.903,40.901231333508,"TB","4: 1rt-Feb 3233_34","3234"
16.4183,4.4158,26.8955982044426,"Tap","4: 1rt-Feb 3233_34","3234"
